group_name,k,n_papers,actual_budget_mean,actual_budget_median,actual_budget_p25,actual_budget_p75,actual_budget_min,actual_budget_max,compression_ratio_mean,compression_ratio_median,pool_gt_recall_micro,union_gain_mean,pairwise_pool_jaccard_mean
Qimg+BM25,4,31,6.58,7.0,6.0,7.0,4,8,0.8226,0.875,0.6316,0.0508,0.2525
Qimg+BM25,5,31,8.06,8.0,7.0,9.0,5,10,0.8065,0.8,0.6947,0.049,0.2819
Qimg+BM25,6,31,9.23,10.0,8.0,11.0,5,12,0.7688,0.8333,0.7263,0.0449,0.347
Qimg+BM25,7,31,10.1,11.0,8.0,12.0,5,13,0.7212,0.7857,0.7895,0.0575,0.4389
Qimg+CLIP,3,31,5.13,5.0,5.0,6.0,3,6,0.8548,0.8333,0.5579,0.0611,0.2065
Qimg+CLIP,4,31,6.55,7.0,6.0,7.0,4,8,0.8185,0.875,0.6737,0.0804,0.2704
Qimg+CLIP,5,31,7.9,8.0,7.0,9.0,5,10,0.7903,0.8,0.7474,0.0715,0.3015
Qimg+CLIP,6,31,9.13,9.0,8.0,10.5,5,12,0.7608,0.75,0.7789,0.0756,0.3609
Qimg+CLIP,7,31,9.94,10.0,8.5,12.0,5,14,0.7097,0.7143,0.8105,0.053,0.4613
Qimg+Dense,3,31,5.23,5.0,5.0,6.0,4,6,0.871,0.8333,0.5053,0.0517,0.171
Qimg+Dense,4,31,6.77,7.0,6.0,8.0,5,8,0.8468,0.875,0.5684,0.0248,0.2086
Qimg+Dense,5,31,8.1,9.0,7.0,9.0,5,10,0.8097,0.9,0.6421,0.0127,0.2837
Qimg+Dense,6,31,9.26,10.0,8.0,11.0,5,12,0.7715,0.8333,0.7053,0.0403,0.3544
Qimg+Dense,7,31,10.42,11.0,8.5,12.0,5,14,0.7442,0.7857,0.7895,0.0427,0.4044
Qimg+L,3,31,4.97,5.0,4.5,5.5,3,6,0.8279,0.8333,0.5895,0.0471,0.2419
Qimg+L,4,31,6.39,6.0,6.0,7.0,5,8,0.7984,0.75,0.6737,0.0404,0.2845
Qimg+L,5,31,7.52,8.0,6.0,8.0,5,10,0.7516,0.8,0.7263,0.0404,0.3913
Qimg+L,6,31,8.77,9.0,8.0,10.0,5,12,0.7312,0.75,0.7579,0.0296,0.4142
Qimg+L,7,31,9.77,10.0,8.5,11.0,5,14,0.6982,0.7143,0.8,0.0385,0.4802
Qwen3-VL-Rerank-Img,3,31,3.0,3.0,3.0,3.0,3,3,1.0,1.0,0.4211,0.0,1.0
Qwen3-VL-Rerank-Img,4,31,4.0,4.0,4.0,4.0,4,4,1.0,1.0,0.5053,0.0,1.0
Qwen3-VL-Rerank-Img,5,31,5.0,5.0,5.0,5.0,5,5,1.0,1.0,0.5789,0.0,1.0
Qwen3-VL-Rerank-Img,6,31,5.97,6.0,6.0,6.0,5,6,0.9946,1.0,0.6211,0.0,1.0
Qwen3-VL-Rerank-Img,7,31,6.9,7.0,7.0,7.0,5,7,0.9862,1.0,0.6842,0.0,1.0
Qwen3-VL-Rerank-ImgCap,3,31,3.0,3.0,3.0,3.0,3,3,1.0,1.0,0.3579,0.0,1.0
Qwen3-VL-Rerank-ImgCap,4,31,4.0,4.0,4.0,4.0,4,4,1.0,1.0,0.4632,0.0,1.0
Qwen3-VL-Rerank-ImgCap,5,31,5.0,5.0,5.0,5.0,5,5,1.0,1.0,0.5053,0.0,1.0
Qwen3-VL-Rerank-ImgCap,6,31,5.97,6.0,6.0,6.0,5,6,0.9946,1.0,0.5263,0.0,1.0
Qwen3-VL-Rerank-ImgCap,7,31,6.9,7.0,7.0,7.0,5,7,0.9862,1.0,0.5789,0.0,1.0
Qwen3-VL-Rerank-ImgCap+Link,3,31,3.0,3.0,3.0,3.0,3,3,1.0,1.0,0.4316,0.0,1.0
Qwen3-VL-Rerank-ImgCap+Link,4,31,4.0,4.0,4.0,4.0,4,4,1.0,1.0,0.5474,0.0,1.0
Qwen3-VL-Rerank-ImgCap+Link,5,31,5.0,5.0,5.0,5.0,5,5,1.0,1.0,0.6,0.0,1.0
Qwen3-VL-Rerank-ImgCap+Link,6,31,5.97,6.0,6.0,6.0,5,6,0.9946,1.0,0.6421,0.0,1.0
Qwen3-VL-Rerank-ImgCap+Link,7,31,6.9,7.0,7.0,7.0,5,7,0.9862,1.0,0.6947,0.0,1.0
Zero-shot-CLIP,3,31,3.0,3.0,3.0,3.0,3,3,1.0,1.0,0.2842,0.0,1.0
Zero-shot-CLIP,4,31,4.0,4.0,4.0,4.0,4,4,1.0,1.0,0.3579,0.0,1.0
Zero-shot-CLIP,5,31,5.0,5.0,5.0,5.0,5,5,1.0,1.0,0.4316,0.0,1.0
Zero-shot-CLIP,6,31,5.97,6.0,6.0,6.0,5,6,0.9946,1.0,0.4526,0.0,1.0
Zero-shot-CLIP,7,31,6.9,7.0,7.0,7.0,5,7,0.9862,1.0,0.5368,0.0,1.0
